HomeTeam,AwayTeam,HScore,AScore
AC Milan,Spezia,1,2
Verona,Bologna,2,1
Lazio,Atalanta,0,0
Inter,Venezia,2,1
Genoa,Udinese,0,0
AC Milan,Juventus,0,0
Empoli,AS Roma,2,4
Torino,Sassuolo,1,1
Spezia,Sampdoria,1,0
Cagliari,Fiorentina,1,1
Napoli,Salernitana,4,1
Fiorentina,Lazio,0,3
Inter,AC Milan,1,2
AS Roma,Genoa,0,0
Juventus,Verona,2,0
Udinese,Torino,2,0
Venezia,Napoli,0,2
Sampdoria,Sassuolo,4,0
Bologna,Empoli,0,0
Atalanta,Cagliari,1,2
Salernitana,Spezia,2,2
Torino,Venezia,1,2
Napoli,Inter,1,1
Lazio,Bologna,3,0
Atalanta,Juventus,1,1
Sassuolo,AS Roma,2,2
Verona,Udinese,4,0
Genoa,Salernitana,1,1
Empoli,Cagliari,1,1
AC Milan,Sampdoria,1,0
Spezia,Fiorentina,1,2
Juventus,Torino,1,1
Salernitana,AC Milan,2,2
AS Roma,Verona,2,2
Sampdoria,Empoli,2,0
Udinese,Lazio,1,1
Inter,Sassuolo,0,2
Venezia,Genoa,1,1
Fiorentina,Atalanta,1,0
Bologna,Spezia,2,1
Cagliari,Napoli,1,1
Genoa,Inter,0,0
AC Milan,Udinese,1,1
Sassuolo,Fiorentina,2,1
Empoli,Juventus,2,3
Salernitana,Bologna,1,1
Lazio,Napoli,1,2
Spezia,AS Roma,0,1
Verona,Venezia,3,1
Torino,Cagliari,1,2
Atalanta,Sampdoria,4,0
