HomeTeam,AwayTeam,HScore,AScore
Strasbourg,Nantes,1,0
Reims,Bordeaux,5,0
Nice,Clermont,0,1
Lorient,Lens,2,0
PSG,Rennes,1,0
Lyon,Nice,2,0
Montpellier,Lille,0,1
Metz,Marsylia,1,2
Lens,Bordeaux,3,2
Nantes,Reims,1,0
Clermont,St. Etienne,1,2
Brest,Troyes,5,1
Angers,Strasbourg,0,1
Monaco,Lorient,0,0
Lille,Metz,0,0
Nantes,PSG,3,1
Lens,Lyon,1,1
Marsylia,Clermont,0,2
Bordeaux,Monaco,1,1
St. Etienne,Strasbourg,2,2
Rennes,Troyes,4,1
Reims,Brest,1,1
Lorient,Montpellier,0,1
Nice,Angers,1,0
Montpellier,Rennes,2,4
PSG,St. Etienne,3,1
Strasbourg,Nice,0,0
Lyon,Lille,0,1
Troyes,Marsylia,1,1
Metz,Nantes,0,0
Clermont,Bordeaux,1,1
Brest,Lorient,0,1
Angers,Lens,1,2
Monaco,Reims,1,2
Lorient,Lyon,1,4
Nice,PSG,1,0
Lens,Brest,0,1
Marsylia,Monaco,0,1
Lille,Clermont,4,0
Rennes,Angers,2,0
Reims,Strasbourg,1,1
Nantes,Montpellier,2,0
Bordeaux,Troyes,0,2
St. Etienne,Metz,1,0
Lille,St. Etienne,0,0
