HomeTeam,AwayTeam,HScore,AScore
Sheffield Utd,Luton,2,0
Reading,Huddersfield,3,4
Coventry,QPR,1,2
Bournemouth,Hull,0,1
Blackpool,Millwall,1,0
Birmingham,Barnsley,2,1
Nottingham,Derby,2,1
Bristol City,Cardiff,3,2
Blackburn,Middlesbrough,1,0
QPR,Swansea,0,0
Nottingham,Barnsley,3,0
Luton,Bristol City,2,1
Coventry,Stoke,1,0
Birmingham,Peterborough,2,2
West Brom,Preston,0,2
Huddersfield,Stoke,1,1
Peterborough,Sheffield Utd,0,2
QPR,Reading,4,0
Preston,Bristol City,2,2
Millwall,West Brom,2,0
Middlesbrough,Coventry,1,0
Luton,Blackburn,0,0
Hull,Swansea,2,0
Fulham,Blackpool,1,1
Barnsley,Bournemouth,0,1
Cardiff,Nottingham,2,1
Derby,Birmingham,2,2
Swansea,Luton,0,1
Millwall,Preston,0,0
Huddersfield,Derby,2,0
Barnsley,Cardiff,0,1
Birmingham,Sheffield Utd,1,2
Swansea,Blackburn,1,0
Hull,Preston,0,1
Blackpool,Bristol City,3,1
Stoke,Swansea,3,0
Luton,Barnsley,2,1
Fulham,Millwall,3,0
Derby,Hull,3,1
Coventry,Blackpool,1,1
Sheffield Utd,West Brom,2,0
QPR,Middlesbrough,2,2
Preston,Huddersfield,0,0
Cardiff,Peterborough,4,0
Bristol City,Reading,2,1
Bournemouth,Birmingham,3,1
Blackburn,Nottingham,0,2
Reading,Coventry,2,3
Peterborough,Preston,0,1
Nottingham,Stoke,2,2
Millwall,Cardiff,2,1
Middlesbrough,Derby,4,1
Hull,Fulham,0,1
Blackpool,Bournemouth,1,2
Birmingham,Luton,3,0
Barnsley,QPR,1,0
Huddersfield,Sheffield Utd,0,0
Swansea,Bristol City,3,1
West Brom,Blackburn,0,0
Sheffield Utd,Hull,0,0
Millwall,QPR,2,0
Cardiff,Coventry,2,0
Peterborough,Reading,0,0
Stoke,Birmingham,2,2
Sheffield Utd,Swansea,4,0
QPR,Hull,1,1
Preston,Reading,2,3
Luton,West Brom,2,0
Derby,Peterborough,1,0
Coventry,Barnsley,1,0
Cardiff,Blackpool,1,1
Bristol City,Middlesbrough,2,1
Fulham,Huddersfield,1,2
Reading,Birmingham,2,1
Preston,Nottingham,0,0
Middlesbrough,West Brom,2,1
Hull,Barnsley,0,2
Bristol City,Coventry,1,2
Stoke,Luton,1,2
Sheffield Utd,Blackburn,1,0
QPR,Blackpool,2,1
Huddersfield,Cardiff,2,1
Fulham,Peterborough,2,1
Derby,Millwall,1,2
Peterborough,Hull,0,3
Nottingham,Bristol City,2,0
Millwall,Sheffield Utd,1,0
Luton,Derby,1,0
Coventry,Preston,1,1
Cardiff,Fulham,0,1
Bournemouth,Stoke,2,1
Blackpool,Reading,4,1
Birmingham,Huddersfield,0,2
Barnsley,Middlesbrough,3,2
Blackburn,QPR,1,0
West Brom,Swansea,0,2
Cardiff,Derby,1,0
Sheffield Utd,Nottingham,1,1
Huddersfield,Peterborough,3,0
Swansea,Coventry,3,1
Stoke,Blackpool,0,1
Reading,Millwall,0,1
Preston,Bournemouth,2,1
Middlesbrough,Luton,2,1
Hull,West Brom,0,2
Derby,Barnsley,2,0
Bristol City,Birmingham,1,2
Fulham,Blackburn,2,0
QPR,Cardiff,1,2
Swansea,Fulham,1,5
Sheffield Utd,Middlesbrough,4,1
Coventry,Luton,0,1
Bournemouth,Peterborough,1,1
Blackburn,Millwall,0,0
Barnsley,Stoke,1,1
West Brom,Huddersfield,2,2
Bournemouth,Reading,1,1
Blackburn,Derby,3,1
Birmingham,Middlesbrough,0,2
Barnsley,Bristol City,2,0
Peterborough,Swansea,2,3
Nottingham,QPR,3,1
Millwall,Huddersfield,2,0
Luton,Preston,4,0
Coventry,Hull,0,2
Cardiff,Stoke,2,1
Blackpool,Sheffield Utd,0,0
Swansea,Birmingham,0,0
Stoke,Millwall,2,0
Reading,Blackburn,1,0
Hull,Luton,1,3
Huddersfield,Bournemouth,0,3
Bristol City,West Brom,2,2
Sheffield Utd,Barnsley,2,0
Derby,Coventry,1,1
QPR,Peterborough,1,3
Hull,Huddersfield,0,1
Stoke,Sheffield Utd,1,0
QPR,Fulham,0,2
Peterborough,Middlesbrough,0,4
Luton,Millwall,2,2
Derby,Preston,1,0
Coventry,Blackburn,2,2
Cardiff,Swansea,0,4
Bournemouth,Bristol City,3,2
Barnsley,Reading,1,1
Blackpool,Nottingham,1,4
Birmingham,West Brom,1,0
Reading,Stoke,2,1
Sheffield Utd,QPR,1,0
Preston,Blackpool,1,0
Peterborough,Luton,1,1
Millwall,Swansea,0,1
West Brom,Bournemouth,2,0
Nottingham,Coventry,2,0
Middlesbrough,Fulham,0,1
West Brom,Stoke,1,3
Swansea,Derby,2,1
Reading,Cardiff,1,2
Preston,QPR,2,1
Nottingham,Birmingham,2,0
Millwall,Barnsley,4,1
Middlesbrough,Hull,0,1
Bristol City,Peterborough,1,1
Blackburn,Blackpool,1,1
Sheffield Utd,Bournemouth,0,0
Fulham,Coventry,1,3
Stoke,Bristol City,0,1
Sheffield Utd,Reading,1,2
Preston,Millwall,1,1
Peterborough,Blackburn,2,1
Hull,Cardiff,2,1
Bournemouth,Middlesbrough,0,0
Birmingham,Coventry,2,4
Luton,Nottingham,1,0
Nottingham,West Brom,4,0
Bristol City,Sheffield Utd,1,1
Reading,Swansea,4,4
QPR,Derby,1,0
Millwall,Hull,2,1
Coventry,Bournemouth,0,3
Cardiff,Luton,0,1
Blackpool,Birmingham,6,1
Blackburn,Stoke,0,1
Barnsley,Peterborough,0,2
Middlesbrough,Huddersfield,0,2
Fulham,Preston,3,0
Huddersfield,QPR,2,2
Derby,Fulham,2,1
Huddersfield,Barnsley,2,1
West Brom,Coventry,0,0
Swansea,Middlesbrough,1,1
Stoke,QPR,1,0
Sheffield Utd,Cardiff,1,0
Peterborough,Nottingham,0,1
Hull,Reading,3,0
Derby,Bristol City,1,3
Bournemouth,Fulham,1,1
Birmingham,Millwall,2,2
Luton,Blackpool,1,1
Preston,Blackburn,1,4
Swansea,Bournemouth,3,3
Fulham,Nottingham,0,1
Barnsley,Blackpool,0,2
Middlesbrough,Cardiff,2,0
