HomeTeam,AwayTeam,HScore,AScore
Osasuna,Cadiz,2,0
Alaves,Ath. Bilbao,0,0
Sevilla,Getafe,1,0
Vallecano,Betis,1,1
Espanyol,Elche,1,2
Elche,Villarreal,1,0
Cadiz,Espanyol,2,2
Betis,Alaves,4,0
Valencia,Sevilla,1,1
Celta Vigo,Osasuna,2,0
Getafe,Granada,4,2
Espanyol,Betis,1,4
Atl. Madryt,Valencia,3,2
Sevilla,Celta Vigo,2,2
Villarreal,Mallorca,3,0
Levante,Cadiz,0,2
Alaves,Barcelona,0,1
Real Sociedad,Getafe,0,0
Vallecano,Ath. Bilbao,0,1
Real Madryt,Elche,2,2
Granada,Osasuna,0,2
Getafe,Levante,3,0
Osasuna,Sevilla,0,0
Celta Vigo,Vallecano,2,0
Mallorca,Cadiz,2,1
Elche,Alaves,3,1
Real Madryt,Granada,1,0
Betis,Villarreal,0,2
Barcelona,Atl. Madryt,4,2
Valencia,Real Sociedad,0,0
Ath. Bilbao,Espanyol,2,1
Sevilla,Elche,2,0
Atl. Madryt,Getafe,4,3
Vallecano,Osasuna,0,3
Villarreal,Real Madryt,0,0
Cadiz,Celta Vigo,0,0
Espanyol,Barcelona,2,2
Real Sociedad,Granada,2,0
Levante,Betis,2,4
Alaves,Valencia,2,1
Mallorca,Ath. Bilbao,3,2
Atl. Madryt,Levante,0,1
Elche,Vallecano,2,1
Real Madryt,Alaves,3,0
Cadiz,Getafe,1,1
Osasuna,Atl. Madryt,0,3
Granada,Villarreal,1,4
Ath. Bilbao,Real Sociedad,4,0
Betis,Mallorca,2,1
Valencia,Barcelona,1,4
Espanyol,Sevilla,1,1
Celta Vigo,Levante,1,1
Levante,Elche,3,0
Atl. Madryt,Celta Vigo,2,0
Vallecano,Real Madryt,0,1
Getafe,Alaves,2,2
Mallorca,Valencia,0,1
Barcelona,Ath. Bilbao,4,0
Real Sociedad,Osasuna,1,0
Villarreal,Espanyol,5,1
Granada,Cadiz,0,0
Mallorca,Real Sociedad,0,2
